Rank 2024,Name,CKPG,GICS Industry,GICS Sector,Country,HQ,USD Purchasing Power Parity Revenue,Energy Productivity,Energy Productivity Score,Carbon Productivity,Carbon Productivity Score,Water Productivity,Water Productivity Score,Water Whole Universe Percentrank,Water Top Quartile Percentrank,Water Penalty,Waste Productivity,Waste Productivity Score,Waste Whole Universe Percentrank,Waste Top Quartile Percentrank,Waste Penalty,VOC Productivity,VOC Productivity Score,VOC Whole Universe Percentrank,VOC Penalty,NOX Productivity,NOX Productivity Score,NOX Whole Universe Percentrank,NOX Penalty,SOX Productivity,SOX Productivity Score,SOX Whole Universe Percentrank,SOX Penalty,PM Productivity,PM Productivity Score,PM Whole Universe Percentrank,PM Penalty,Cash Taxes Paid Ratio,Cash Taxes Paid Score,Cash Taxes Paid Whole Universe EBITDA Percentrank,Cash Taxes Paid Top Decile Ratio Percentrank,Cash Taxes Paid Penalty,Sustainable Revenue Ratio,Sustainable Revenue Score,Sustainable Investment Ratio,Sustainable Investment Score,CEO to average worker pay ratio,CEO Average Worker Pay Score,Retirement contributions FTE,Retirement contributions FTE Percentrank,Projected benefit obligation FTE,Projected benefit obligation FTE Percentrank,Fair value projected benefit obligation,Fair value projected benefit obligation Percentrank,Pension Fund Quality,Injury Rate Ratio,Injury Rate Score,Injury Rate Percentrank,Injury Rate Top Quartile Percentrank,Injury Rate Penalty,Fatalities Per Employee Ratio,Fatalities Whole Universe Percentrank,Fatalities Penalty,Employee Turnover Ratio,Employee Turnover Score,Non male Boards Ratio,Non male Boards Score,Non male Executives Ratio,Non male Executives Score,Racially Diverse Among Boards Ratio,Racially Diverse Among Boards Score,Racially Diverse Among Executives Ratio,Racially Diverse Among Executives Score,Paid Sick Leave Score,Sustainability Paylink Score,Sustainability Paylink Variable Ratio,Sustainability Paylink Variable Ratio Score,Supplier Score,Political Influence (Bonus) Score,Fines Sum,Fines Percentrank,Fines Deduction,Overall Score
1,Sims Ltd,Waste Management,Metals & Mining,Materials,Australia,"Mascot, Australia","$5,573,478,289","$4,469",95.00%,"$38,525",90.00%,,,,,,"$4,994",22.90%,93.00%,23.70%,2.50%,"$99,526,398",66.30%,0.465020576,1.00%,"$4,617,629",46.90%,66.60%,2.00%,"$91,368,497",78.60%,53.30%,0.00%,,,,2.50%,16.20%,81.50%,48.30%,,,100.00%,100.00%,100.00%,100.00%,36:1,80.00%,"$2,259",66.70%,"$8,783",100.00%,99.50%,71.40%,67.90%,0.21,66.70%,41.00%,,,0,,,19.00%,100.00%,37.50%,82.00%,30.00%,77.80%,12.50%,72.10%,0.00%,0.00%,100.00%,100.00%,9.30%,77.00%,,100%,,,,A+
2,Brambles Ltd,Furniture and general manufacturing,Commercial Services & Supplies,Industrials,Australia,"Sydney, Australia","$6,076,800,000","$11,372",57.10%,"$123,791",58.30%,,,,,,"$570,592",20.90%,53.70%,,,,,,,,,,,,,,,,,,,11.80%,27.30%,82.40%,,,100.00%,100.00%,100.00%,100.00%,61:1,66.70%,"$2,892",87.50%,"$15,179",12.50%,91.60%,73.10%,65.60%,0.32,66.70%,53.70%,,,0,,,30.00%,22.20%,36.40%,76.10%,38.50%,88.00%,18.20%,80.00%,23.10%,87.90%,100.00%,100.00%,9.30%,76.70%,54.40%,0%,,,,A
3,Vestas Wind Systems A/S,Machinery Manufacturing,Electrical Equipment,Industrials,Denmark,"Aarhus, Denmark","$22,337,564,610","$15,134",66.50%,"$141,969",59.80%,"$65,506",82.60%,30.00%,,,"$1,063,694",60.00%,64.20%,,,,,,,,,,,,,,,,,,,19.10%,65.10%,80.60%,,,100.00%,100.00%,100.00%,100.00%,70:1,19.60%,"$5,097",85.50%,,,,,64.10%,0.24,70.70%,45.00%,,,0,,,15.20%,29.60%,41.70%,86.70%,12.50%,41.00%,8.30%,61.50%,12.50%,77.70%,100.00%,100.00%,0.00%,0.00%,13.00%,100%,,,,A
4,Taiwan High Speed Rail Corp,Transit and ground transportation,Transportation Infrastructure,Industrials,Taiwan,"Taipei, Taiwan","$2,439,925,948","$1,115",56.30%,"$7,698",81.30%,,,,,,,,,,,"$355,156,615",75.00%,0.222222222,0.00%,No NOX emissions,100.00%,1.50%,0.00%,No SOX emissions,100.00%,3.40%,0.00%,"$60,998,148,696",75.00%,6.40%,0.00%,0.50%,5.30%,82.90%,,,100.00%,100.00%,100.00%,100.00%,11:1,100.00%,"$3,046",100.00%,"$13,153",50.00%,70.50%,61.50%,77.90%,0.25,100.00%,46.40%,,,0,,,4.00%,100.00%,15.40%,28.20%,14.30%,45.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,8.60%,0%,,,,A
5,Nordex SE,Machinery Manufacturing,Electrical Equipment,Industrials,Germany,"Hamburg, Germany","$8,779,591,182","$61,495",98.20%,"$160,887",65.30%,"$65,765",68.80%,18.90%,,,"$598,391",38.90%,59.00%,,,,,,,,,,,,,,,,,,,72.60%,99.50%,19.60%,,,100.00%,100.00%,100.00%,100.00%,82:1,17.40%,"$16,342",100.00%,$427,1.90%,,,75.00%,0.3,58.50%,52.00%,,,0.000109,32.20%,3.00%,30.00%,5.60%,33.30%,66.90%,0.00%,0.00%,50.00%,98.30%,33.30%,94.50%,0.00%,100.00%,6.80%,68.80%,31.20%,0%,,,,A
6,Banco do Brasil SA,Banks,Banks,Financials,Brazil,"Brasília, Brazil","$52,549,117,257","$991,089",97.90%,"$1,106,800",79.50%,"$46,570",34.70%,45.30%,,,"$164,354,666",95.30%,15.20%,,,,,,,,,,,,,,,,,,,16.70%,64.90%,97.20%,,,28.60%,100.00%,0.00%,0.00%,9:1,92.90%,"$9,054",85.30%,$651,1.00%,140.40%,87.10%,64.20%,,,,,,0.000011,92.80%,1.00%,2.70%,100.00%,50.00%,97.50%,25.70%,71.30%,25.00%,87.70%,11.40%,74.60%,100.00%,100.00%,8.30%,72.00%,48.40%,100%,,,,A-
7,Schneider Electric SE,Electrical equipment manufacturing,Electrical Equipment,Industrials,France,"Rueil-Malmaison, France","$52,699,752,045","$39,687",98.80%,"$102,400",74.80%,"$27,425",100.00%,53.80%,,,"$2,656,907",66.00%,63.50%,,,,,,,,,,,,,,,,,,,15.70%,60.20%,96.30%,68.00%,1.00%,72.00%,68.80%,80.00%,73.70%,97:1,11.10%,"$1,486",42.10%,"$76,317",100.00%,90.10%,86.70%,53.20%,0.064,66.70%,17.90%,,,0,,,16.60%,38.50%,50.00%,97.50%,41.20%,91.30%,28.60%,90.00%,35.30%,94.60%,100.00%,100.00%,4.10%,59.50%,55.90%,100%,,,,A-
8,Chr Hansen Holding A/S,Food and beverage manufacturing,Chemicals,Materials,Denmark,"Hørsholm, Denmark","$1,878,168,832","$3,094",59.30%,"$38,696",71.90%,"$1,412",68.30%,47.60%,,,"$112,776",21.80%,60.40%,,,,,,,,,,,,,,,,,,,13.60%,40.80%,62.00%,,,46.80%,100.00%,70.70%,100.00%,34:1,55.30%,"$9,437",97.80%,"$2,547",13.00%,9.80%,3.80%,73.30%,0.3,85.70%,52.00%,,,0,,,16.00%,53.00%,50.00%,97.50%,37.50%,87.80%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,9.80%,79.60%,53.90%,100%,,,,A-
9,Stantec Inc,"Business, engineering and personal services",Construction & Engineering,Industrials,Canada,"Edmonton, Canada","$4,527,868,499","$19,194",59.60%,"$118,360",35.20%,"$507,040",75.00%,4.00%,,,"$591,956",25.30%,49.10%,,,,,,,,,,,,,,,,,,,12.00%,40.40%,56.60%,,,59.00%,100.00%,59.50%,90.50%,60:1,40.00%,"$3,253",81.80%,"$11,396",64.40%,110.60%,93.20%,75.80%,0.08,51.40%,21.20%,,,0,,,15.80%,67.10%,50.00%,97.50%,42.90%,91.90%,20.00%,82.60%,28.60%,91.50%,100.00%,100.00%,8.60%,73.80%,70.00%,0%,,,,A-
10,SMA Solar Technology AG,Semiconductor and electronic components manufacturing,Semiconductors & Semiconductor Equipment,Information Technology,Germany,"Niestetal, Germany","$1,643,699,962","$33,435",72.00%,"$135,701",75.50%,,,,,,"$7,624,548",91.60%,12.70%,,,,,,,,,,,,,,,,,,,21.80%,88.60%,17.40%,,,100.00%,100.00%,100.00%,100.00%,15:1,96.30%,$623,21.40%,,,,,16.10%,,,,,,0,,,,,33.30%,66.90%,,,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,2.40%,50.40%,,0%,,,,A-
11,Autodesk Inc,IT services except telecom and hosting,Software,Information Technology,U.S.,"San Francisco, U.S.","$5,005,000,000",No net non-renewable energy use,100.00%,"$517,478",63.10%,,,,,,"$1,083,333",8.30%,41.90%,,,,,,,,,,,,,,,,,,,19.00%,80.10%,64.70%,,,92.80%,100.00%,44.20%,100.00%,,,"$5,075",67.40%,"$5,672",22.20%,100.00%,81.10%,51.40%,0,100.00%,,,,0,,,12.40%,80.00%,50.00%,97.50%,54.50%,98.00%,20.00%,82.60%,9.10%,71.10%,100.00%,0.00%,0.00%,0.00%,,0%,,,,A-
12,WSP Global Inc,"Business, engineering and personal services",Construction & Engineering,Industrials,Canada,"Montreal, Canada","$9,517,121,471","$20,113",46.80%,"$152,031",40.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,16.30%,59.40%,61.20%,,,57.00%,94.70%,91.70%,100.00%,109:1,18.00%,"$2,196",57.60%,"$4,358",39.00%,53.20%,21.20%,43.20%,,,,,,0,,,20.00%,47.60%,33.30%,66.90%,36.40%,86.00%,11.10%,69.50%,9.10%,71.10%,100.00%,100.00%,1.50%,44.60%,70.00%,0%,,,,B+
13,Clean Harbors Inc,Waste Management,Commercial Services & Supplies,Industrials,U.S.,"Norwell, U.S.","$5,166,605,000","$1,465",54.10%,"$3,048",40.00%,,,,,,,,,,,"$1,697,308",15.00%,0.899176955,2.50%,"$4,766,241",68.80%,66.00%,1.00%,"$676,523",12.50%,91.20%,2.50%,,,,2.50%,7.80%,48.10%,63.00%,,,100.00%,100.00%,100.00%,100.00%,,,"$1,279",33.30%,,,,,25.00%,0.19,100.00%,38.20%,,,0,,,32.00%,33.30%,45.50%,93.10%,20.00%,59.90%,18.20%,80.00%,10.00%,72.50%,100.00%,100.00%,12.20%,85.70%,,0%,,,,B+
14,Enphase Energy Inc,Semiconductor and electronic components manufacturing,Semiconductors & Semiconductor Equipment,Information Technology,U.S.,"Fremont, U.S.","$2,330,853,000","$141,469",75.00%,"$209,362",72.00%,,,,,,"$19,947,394",73.40%,9.50%,,,,,,,,,,,,,,,,,,,4.00%,12.80%,39.90%,,,100.00%,100.00%,100.00%,100.00%,,,,,,,,,,0.04,79.10%,11.80%,,,0,,,,,14.30%,23.30%,12.50%,41.00%,14.30%,74.30%,50.00%,97.90%,0.00%,0.00%,0.00%,0.00%,18.30%,0%,,,,B+
15,Telefonaktiebolaget LM Ericsson,Telephones and telecom equip manufacturing,Communications Equipment,Information Technology,Sweden,"Stockholm, Sweden","$31,333,849,283","$26,610",61.00%,"$174,040",83.40%,"$28,485",83.90%,44.90%,,,"$7,926,600",65.40%,40.20%,,,,,,,,,,,,,,,,,,,18.20%,72.70%,90.10%,77.30%,0.00%,46.80%,90.00%,71.30%,100.00%,83:1,45.50%,"$7,170",90.90%,"$91,512",90.00%,72.30%,41.70%,76.10%,0.087,50.00%,21.80%,,,0.000075,45.00%,3.00%,14.00%,61.50%,28.60%,55.80%,23.50%,63.90%,0.00%,0.00%,11.80%,74.90%,100.00%,100.00%,0.00%,0.00%,51.10%,100%,,,,B+
16,SunPower Corp,Semiconductor and electronic components manufacturing,Electrical Equipment,Industrials,U.S.,"Richmond, U.S.","$1,741,072,000",No net non-renewable energy use,100.00%,,,,,,,,"$14,754,847",93.80%,9.50%,,,,,,,,,,,,,,,,,,,,,19.20%,,,100.00%,100.00%,100.00%,100.00%,,,,,,,,,,0.44,11.60%,62.40%,,,,,,,,22.20%,39.00%,50.00%,97.90%,11.10%,69.50%,12.50%,77.70%,0.00%,0.00%,1.10%,42.90%,,0%,,,,B+
17,Ørsted A/S,Power Generation,Electric Utilities,Utilities,Denmark,"Fredericia, Denmark","$20,930,534,304","$25,840",93.90%,"$8,192",84.70%,$20,36.00%,97.80%,,,"$839,909",59.40%,67.00%,,,"$93,439,885",43.30%,0.648148148,2.00%,"$11,062,650",90.50%,70.40%,0.00%,"$26,834,018",77.60%,72.00%,0.00%,"$182,004,646",59.10%,35.50%,1.00%,9.90%,68.50%,91.40%,34.90%,2.00%,65.00%,57.10%,98.60%,70.60%,35:1,35.30%,"$8,476",55.60%,,,,,41.70%,0.32,42.60%,53.70%,,,0,,,11.70%,28.60%,50.00%,97.50%,27.30%,72.20%,8.30%,61.50%,9.10%,71.10%,100.00%,100.00%,13.50%,87.50%,68.40%,100%,,,,B+
18,Alstom SA,Non-road transport equipment manufacturing,Machinery,Industrials,France,"Saint-Ouen, France","$25,453,967,902","$10,443",72.60%,"$111,827",71.50%,"$18,027",55.90%,48.70%,,,"$1,332,529",46.40%,62.80%,,,,,,,,,,,,,,,,,,,11.00%,33.30%,74.90%,,,84.00%,83.30%,92.10%,75.00%,31:1,50.00%,"$2,289",54.50%,"$66,674",68.80%,85.20%,37.30%,42.40%,0.8,40.00%,77.60%,,,0.000024,80.70%,1.00%,12.80%,23.50%,38.50%,82.30%,17.60%,51.60%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,19.10%,93.90%,,0%,,,,B+
19,Neste Oyj,"Refining, petrochemicals and basic organic chemicals","Oil, Gas & Consumable Fuels",Energy,Finland,"Espoo, Finland","$39,640,464,824","$1,229",97.40%,"$15,844",92.40%,"$4,607",86.60%,71.80%,,,"$216,390",26.80%,85.40%,,,"$12,544,451",52.80%,0.901234568,1.00%,"$34,469,969",95.70%,66.30%,0.00%,"$16,312,948",41.70%,83.20%,2.00%,"$508,211,088",100.00%,33.30%,0.00%,9.60%,30.90%,90.90%,33.50%,2.00%,38.90%,97.40%,91.90%,100.00%,14:1,81.00%,"$18,568",100.00%,"$111,980",84.60%,69.60%,33.30%,79.50%,0.4,10.70%,60.20%,,,0,,,10.20%,43.80%,25.00%,so,27.30%,72.20%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,20.00%,95.60%,35.20%,0%,,,,B+
20,Dassault Systèmes SE,IT services except telecom and hosting,Software,Information Technology,France,"Vélizy-Villacoublay, France","$8,735,952,284","$16,289",20.20%,"$318,772",43.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,14.40%,66.00%,85.50%,,,65.80%,90.00%,6.00%,91.70%,27:1,60.00%,"$3,512",44.20%,"$12,440",33.30%,26.90%,17.60%,33.10%,0.002,43.50%,0.90%,,,0,,,12.00%,84.40%,50.00%,97.50%,45.50%,94.20%,20.00%,82.60%,9.10%,71.10%,100.00%,100.00%,16.40%,92.10%,51.30%,0%,,,,B+
21,Giant Manufacturing Co Ltd,Non-road transport equipment manufacturing,Leisure Products,Consumer Discretionary,Taiwan,"Taichung, Taiwan","$6,047,945,003","$4,188",31.70%,"$56,418",34.40%,"$6,448",39.40%,43.30%,,,"$482,023",25.80%,56.40%,,,,,,,,,,,,,,,,,,,18.30%,79.80%,59.80%,,,100.00%,100.00%,100.00%,100.00%,227:1,7.10%,"$2,841",63.60%,"$3,464",12.50%,88.20%,47.10%,47.70%,20.29,6.70%,99.50%,,,0,,,,,9.10%,11.70%,36.40%,86.00%,18.20%,80.00%,9.10%,71.10%,0.00%,0.00%,0.00%,0.00%,5.70%,0%,,,,B+
22,City Developments Ltd,Real estate and leasing,Real Estate Management & Development,Real Estate,Singapore,"Singapore, Singapore","$4,031,105,263","$2,776",64.00%,"$25,789",45.20%,"$1,109",59.00%,61.90%,,,,,,,,,,,,,,,,,,,,,,,,16.80%,94.30%,78.60%,,,53.60%,81.80%,63.60%,94.10%,38:1,45.00%,"$7,278",85.70%,"$15,120",80.00%,92.10%,68.30%,76.40%,0.206,48.10%,40.20%,,,0.000133,27.30%,3.00%,18.00%,54.90%,20.00%,38.40%,50.00%,97.90%,10.00%,66.40%,0.00%,0.00%,100.00%,100.00%,20.00%,95.00%,58.40%,0%,,,,B+
23,Trane Technologies PLC,HVAC equipment manufacturing,Building Products,Industrials,Ireland,"Swords, Ireland","$15,991,700,000","$6,604",71.40%,"$44,213",38.50%,"$6,527",21.30%,56.80%,,,"$2,589,330",100.00%,45.90%,,,,,,,,,,,,,,,,,,,25.20%,91.70%,87.10%,,,38.00%,90.00%,28.60%,80.00%,126:1,50.00%,"$4,561",100.00%,"$49,112",100.00%,110.90%,100.00%,100.00%,0.14,80.00%,31.00%,,,0,,,12.00%,71.40%,45.50%,93.10%,20.00%,59.90%,18.20%,80.00%,20.00%,85.80%,100.00%,100.00%,1.80%,46.60%,,0%,,,,B+
24,United Utilities Group PLC,Water and sewage treatment,Water Utilities,Utilities,U.K.,"Warrington, U.K.","$2,749,267,249",$933,62.90%,"$10,544",83.50%,$4,37.50%,97.30%,,,"$243,686",92.90%,54.80%,,,,,,,,,,,,,,,,,,,2.90%,13.50%,80.60%,,,41.60%,41.20%,100.00%,100.00%,71:1,50.00%,"$9,660",100.00%,"$587,897",100.00%,125.70%,100.00%,100.00%,0.144,60.00%,31.30%,,,0,,,6.00%,100.00%,40.00%,86.40%,45.50%,94.20%,10.00%,66.40%,0.00%,0.00%,0.00%,100.00%,12.50%,86.30%,,0%,,,,B+
25,XPeng Inc,"Cars and trucks manufacturing, including parts",Automobiles,Consumer Discretionary,China,"Guangzhou, China","$26,855,119,000","$61,710",94.40%,"$264,119",75.00%,,,,,,"$1,034,560",56.10%,67.30%,,,"$1,904,618,369",75.00%,0.294238683,0.00%,,,,,,,,,,,,,0.00%,,0.00%,,,100.00%,100.00%,100.00%,100.00%,,,,,,,,,,0.101,85.00%,24.20%,,,0,,,28.00%,25.00%,14.30%,23.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,10.90%,0%,,,,B
26,Wheaton Precious Metals Corp,Asset management,Metals & Mining,Financials,Canada,"Vancouver, Canada","$1,065,053,000","$6,309,929",83.50%,"$33,251,733",82.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20%,0.60%,67.50%,,,20.70%,100.00%,,,5:1,96.60%,"$33,976",100.00%,,,,,75.00%,,,,,,0,,,7.00%,100.00%,30.00%,63.90%,0.00%,0.00%,10.00%,66.40%,20.00%,85.80%,100.00%,100.00%,6.00%,66.50%,35.60%,0%,,,,B
27,Brookfield Renewable Partners LP,Power Generation,Independent Power and Renewable Electricity Producers,Utilities,Bermuda,"Hamilton, Bermuda","$4,711,000,000","$1,619",63.90%,"$25,165",82.90%,$695,64.40%,69.30%,,,,,,,,No VOC emissions,100.00%,0.04526749,0.00%,"$24,664,921",95.20%,48.50%,0.00%,"$13,086,111,111",75.50%,20.70%,0.00%,No PM emissions,100.00%,5.00%,0.00%,4.30%,32.30%,81.70%,,,96.70%,70.00%,99.60%,71.30%,58:1,17.60%,,,,,,,,1.2,6.40%,84.90%,,,0,,,,,33.30%,66.90%,50.00%,97.90%,11.10%,69.50%,20.00%,85.80%,0.00%,100.00%,0.00%,0.00%,14.90%,0%,,,,B
28,ERG SpA,Power Generation,Independent Power and Renewable Electricity Producers,Utilities,Italy,"Genoa, Italy","$2,214,327,128",$134,46.00%,"$2,342",63.70%,$9,25.10%,95.10%,,,,,,,,No VOC emissions,100.00%,0.04526749,0.00%,"$6,009,029",77.30%,55.40%,0.00%,No SOX emissions,100.00%,3.40%,0.00%,No PM emissions,100.00%,5.00%,0.00%,8.60%,61.30%,68.20%,,,52.20%,55.70%,100.00%,100.00%,22:1,52.90%,"$5,254",29.60%,,,,,22.20%,0.42,29.80%,61.30%,,,0,,,9.00%,60.70%,41.70%,86.70%,12.50%,41.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,6.70%,68.50%,79.30%,0%,,,,B
