Fuel Type,Gas,Oil,Coal,Other solid fuels,Non-fuel
1990,146.0936665,197.8404975,219.214116,14.12801713,16.80205202
1991,154.2377886,197.471018,221.594651,13.56350188,14.76391279
1992,153.3085737,196.617098,207.2101002,14.31400813,13.28088888
1993,168.6745924,196.3200771,177.9047647,14.38433875,12.48994079
1994,179.50316,192.7469096,165.946358,13.16507637,14.35740459
1995,188.511136,187.139448,152.1618507,13.31545173,15.50601546
1996,214.8570806,190.8578398,141.9079489,14.12416435,15.81651843
1997,217.8884859,183.150526,124.4137036,12.70741163,12.14862128
1998,223.9035693,180.7734458,125.4375829,12.22297328,12.40165812
1999,238.8920948,178.0699283,108.3246177,11.74040262,10.73788568
2000,241.4830543,174.548972,116.9570182,11.52034141,9.218991305
2001,238.0811483,177.0735761,129.2772079,9.529771085,7.823993714
2002,233.5638359,173.4699589,120.6961962,10.32274415,7.349582357
2003,237.6637459,171.9222026,129.7639209,9.551515638,7.233607079
2004,241.7766987,173.7729474,124.3924438,10.04877243,6.715655708
2005,235.364348,175.6228307,124.8906403,10.13605253,7.309832988
2006,225.8725362,171.478589,136.6699428,10.41551525,5.981113637
2007,228.0842855,170.945962,126.1924554,10.04931467,5.557147085
2008,234.3574936,163.2272131,115.5644584,9.845647258,4.048373334
2009,214.7092586,155.45868,95.88009981,9.09050812,1.026054692
2010,228.1726881,154.9279037,100.9194372,8.924330301,-0.2883123485
2011,192.8538595,147.788577,101.5910962,8.268592305,-0.7746932172
2012,181.6962328,147.206396,131.0435041,9.265255625,0.7307506089
2013,184.3804763,144.320092,121.1160187,8.589538616,0.5920913086
2014,170.86165,145.0372048,94.47219276,8.192065439,0.572718104
2015,172.891817,148.6780909,73.00659345,7.284175261,0.6852575847
2016,187.2999108,150.4270521,33.6153294,6.528376829,1.003495472
2017,182.991515,150.8874818,25.46507685,6.540695607,1.00250951